Date,Open,High,Low,Close,Volume,Adj Close
2014-02-28,96.42,96.79,95.37,96.76,2303900,89.9471
2014-02-27,96.30,96.85,94.93,96.01,2019200,89.2499
2014-02-26,96.77,97.22,96.11,96.69,1739100,89.882
2014-02-25,95.58,96.80,95.51,96.80,1974100,89.9843
2014-02-24,94.79,95.69,94.35,95.69,1560400,88.9524
2014-02-21,95.55,95.70,94.38,94.85,1789800,88.1716
2014-02-20,94.05,95.15,93.95,95.04,2172700,88.3482
2014-02-19,94.69,95.61,94.42,95.18,1295100,88.4783
2014-02-18,95.54,95.78,94.56,94.73,1487500,88.06
2014-02-17,95.00,95.60,94.82,95.44,751000,88.72
2014-02-14,94.42,95.75,94.42,95.06,1944900,88.3668
2014-02-13,94.35,94.73,93.31,94.29,1838400,87.651
2014-02-12,94.62,95.49,94.10,94.41,2307900,87.7625
2014-02-11,93.63,94.43,93.37,94.08,2076300,87.4558
2014-02-10,93.39,94.08,92.98,93.24,1448600,86.6749
2014-02-07,92.87,93.80,92.34,93.40,2259200,86.8237
2014-02-06,92.13,93.10,91.39,92.97,2916000,86.4239
2014-02-05,91.55,92.50,90.86,92.08,2057200,85.5966
2014-02-04,92.15,92.97,91.66,91.84,2571500,85.3735
2014-02-03,93.95,94.98,92.72,92.72,2874600,86.1915
2014-01-31,93.97,93.97,91.61,93.96,4101700,87.3442
2014-01-30,94.95,95.21,93.02,94.14,2852200,87.5116
2014-01-29,96.80,96.88,93.76,94.87,4653500,88.1902
2014-01-28,98.35,99.50,95.86,98.94,5531800,89.1848
2014-01-27,96.68,97.90,96.42,97.41,3769200,87.8057
2014-01-24,98.20,98.82,96.16,96.33,3879400,86.8322
2014-01-23,98.35,99.29,97.61,97.99,2435900,88.3285
2014-01-22,99.86,100.80,98.28,98.51,3203200,88.7972
2014-01-21,100.20,100.55,99.87,99.97,1936700,90.1133
2014-01-20,100.10,100.65,99.95,100.40,1234100,90.5009
2014-01-17,99.69,100.55,99.62,100.55,3588700,90.6361
2014-01-16,101.15,101.30,100.00,100.00,1984300,90.1403
2014-01-15,99.00,101.35,98.83,101.35,3041400,91.3572
2014-01-14,97.80,98.73,97.15,98.73,2025000,88.9955
